,I-0-0,I-0-1,I-0-2,I-0-3,I-0-4
I-mlr-['elevation'],0.27394845994515316,0.2666920023605256,0.2703508733755008,0.29923672344096997,0.24974861987980834
I-mlr-['moisture'],0.005615058609022894,-0.002516434814844759,0.004777353866473266,0.009413394870207092,0.001570147662248833
I-mlr-['temp'],0.011902023019069397,0.007996041179919255,0.011064670462389792,0.016278817517441868,0.012803339395275892
I-mlr-['B01'],0.01759784012105403,0.02606617386623522,0.007244201227384561,0.027307899753496123,0.019578867423152957
I-mlr-['B02'],0.015104061265302393,0.00836763922128625,0.008809637284016847,0.03128995026990622,0.020060867790843928
I-mlr-['B03'],0.016986295697111076,0.01153611190054904,0.012325973473156115,0.03502669920468382,0.020484619751120703
I-mlr-['B04'],0.014056615953896845,0.012155496539131505,0.012933422097500702,0.03554067499699343,0.02289125291784977
I-mlr-['B05'],0.019212073016263154,0.024239924426185944,0.018811715135373497,0.03382061852017704,0.02647254208269667
I-mlr-['B06'],0.03749279582296716,0.021363775660858675,0.021276817967959327,0.036613890555237893,0.03491227567586408
I-mlr-['B07'],0.03569720184681224,0.02320702528736418,0.017411091057394912,0.03731086227692637,0.03187403846731507
I-mlr-['B08'],0.03806579575394553,0.01581163612934333,0.0210081506166363,0.046549884047519585,0.02868310231918858
I-mlr-['B09'],0.006260403956649285,-0.003550176458025689,0.003082050717411744,0.009663998085847725,-0.0027511367349557503
I-mlr-['B11'],-0.004189125487733758,0.003762582390295699,0.0009615113906213946,0.005480318100158366,0.0052025528731666215
I-mlr-['B12'],-0.003081317474764589,0.002102260051655591,0.0006462628782479829,0.0036510759725354447,0.003092072181978711
I-mlr-['B8A'],0.03501891325340223,0.01948420157935571,0.019612618393123338,0.038974785517953636,0.026203262317248677
I-ann-['elevation'],0.2737172783511712,0.2667392119978751,0.2704727677104143,0.29915472886229955,0.2498774847011883
I-ann-['moisture'],0.005293056591928025,-0.002445701353382068,0.004813348477451185,0.009401150630632737,0.0016254057553910517
I-ann-['temp'],0.01098672175202553,0.007991931627952531,0.011339967599279244,0.016431670064054327,0.013161188596530815
I-ann-['B01'],0.017033416033005455,0.026256577362133604,0.007402424661447249,0.027324999937671013,0.01968112434495195
I-ann-['B02'],0.014550533185440973,0.008537876007231437,0.00880158465592873,0.031357941680142165,0.020058626635861665
I-ann-['B03'],0.01637608328728546,0.011709300138361578,0.012357411492095904,0.03499337202849928,0.02056147443908718
I-ann-['B04'],0.013415829966013648,0.012381820656236164,0.012936339410208886,0.035500982682349025,0.02299431021971765
I-ann-['B05'],0.018667124968740678,0.02452216431142107,0.018839887436793767,0.033711438111851844,0.026662101058429144
I-ann-['B06'],0.03706775994724054,0.02144621705750227,0.021306721480679025,0.03659277714857523,0.03501909355345101
I-ann-['B07'],0.035340329883265964,0.023272816614406944,0.01742322369316318,0.03729783606889303,0.03197868704931128
I-ann-['B08'],0.037786555310241776,0.01683934736433479,0.021535769463199128,0.046947228608928415,0.030112306824330637
I-ann-['B09'],0.005613514271714748,-0.003433744908167835,0.0031366657290290423,0.009664610142878671,-0.002646152985991135
I-ann-['B11'],-0.004919657775234398,0.003951202171279644,0.0009837772613172646,0.005310645095212951,0.005321939587915159
I-ann-['B12'],-0.005316144027520453,0.0022677942800775064,0.0006114865659839763,0.002927926207484166,0.003203589321917777
I-ann-['B8A'],0.034610012793572675,0.019558108536179564,0.019643704004566165,0.038972290206853444,0.02629434226660221
