,I-0-0,I-0-1,I-0-2,I-0-3,I-0-4,I-0-5,I-0-6,I-0-7,I-0-8,I-0-9
I-mlr-vis,-0.01013670876210826,0.049616131777649675,0.04501290881618436,0.03413994411253163,0.012481885459467823,0.009596140325254576,0.009350510476322627,0.019602036767745856,-0.037875504047810704,-0.0021542512291767846
I-mlr-props,0.38554962909701984,0.3758747838555653,0.4463576313951868,0.3688837535846641,0.29831089125222443,0.37314995928530537,0.35912465437529406,0.4558189760675454,0.2656853887404914,0.009745016738555767
I-mlr-vis-props,0.3813367536791792,0.3560606331713675,0.4442211619681704,0.37749860504219357,0.2976630127545191,0.3610444357662662,0.3698769481248081,0.4641567004951803,0.2720101120918409,0.015328201990201351
I-mlr-bands,0.01151980788731466,0.1145146280588506,0.02524545288419411,0.04690319172777124,0.03162042995373604,0.08350237607834088,0.08695041477629917,0.13741527398444486,-0.03240041156916096,0.04024120958343158
I-mlr-all,0.38681672653759847,0.3511966313853869,0.4775595257302262,0.3802717503135895,0.3010245289856277,0.36292224553101937,0.3958196636797986,0.4843751967905522,0.27750987199858945,0.06994765016070059
I-ann-vis,0.08886036719668833,0.14024442641776036,0.06457965856009384,0.06991942426660613,0.06309067329183438,0.11116491667960071,0.07799431298804893,0.08566363307352731,0.019861719019669377,0.04614866141048202
I-ann-props,0.4879686432296192,0.429654193628223,0.4877992720570431,0.4218820366307968,0.3587431616998985,0.41905302979555326,0.4004604971701322,0.5143796217287002,0.28965553664013444,0.26761023522843763
I-ann-vis-props,0.3550680291393504,0.32714503159992936,0.38644178986555766,0.3213449911961398,0.2585025652795203,0.32561936263918656,0.30958634960557285,0.41691821684360364,0.2133813298385655,0.17608710144465112
I-ann-bands,0.0072903174038495555,0.12215564886064756,0.028434688301281486,0.027610999861292118,0.04610667830700854,0.11663929713121235,0.07995717182247919,0.1267787202388655,-0.014310565746425086,0.026727666794545413
I-ann-all,0.2552231232282418,0.19471468124693392,0.30835485733029444,0.21267893410913763,0.20365987491430315,0.23180588045831618,0.2831685969802057,0.35010871098397667,0.05244643415097827,0.36335494750506303
