config,R2(ann),RMSE(ann)
vis_low_1_random,0.311,0.144
props_ex_som_low_1_random,0.585,0.111
vis_props_ex_som_low_1_random,0.497,0.123
bands_low_1_random,0.415,0.132
all_ex_som_low_1_random,0.479,0.125
vis_low_1_top,0.0,0.184
props_ex_som_low_1_top,0.0,0.135
vis_props_ex_som_low_1_top,0.0,0.148
bands_low_1_top,0.0,0.141
all_ex_som_low_1_top,0.0,0.14
vis_low_1_bottom,0.0,0.153
props_ex_som_low_1_bottom,0.182,0.134
vis_props_ex_som_low_1_bottom,0.0,0.148
bands_low_1_bottom,0.0,0.164
all_ex_som_low_1_bottom,0.226,0.13
vis_low_1_mid,0.094,0.172
props_ex_som_low_1_mid,0.663,0.105
vis_props_ex_som_low_1_mid,0.632,0.11
bands_low_1_mid,0.105,0.171
all_ex_som_low_1_mid,0.544,0.122
vis_low_1_left,0.0,0.185
props_ex_som_low_1_left,0.235,0.134
vis_props_ex_som_low_1_left,0.204,0.136
bands_low_1_left,0.123,0.143
all_ex_som_low_1_left,0.223,0.135
vis_low_1_right,0.0,0.295
props_ex_som_low_1_right,0.216,0.206
vis_props_ex_som_low_1_right,0.171,0.212
bands_low_1_right,0.0,0.26
all_ex_som_low_1_right,0.285,0.196
vis_low_1_block,0.336,0.2
props_ex_som_low_1_block,0.651,0.145
vis_props_ex_som_low_1_block,0.653,0.144
bands_low_1_block,0.363,0.196
all_ex_som_low_1_block,0.602,0.155
