algorithm,R2(1-1),R2(1-2),R2(1-3),R2(1-4),R2(1-5),R2(1-6),R2(1-7),R2(1-8),R2(1-9),R2(1-10),RMSE(1-1),RMSE(1-2),RMSE(1-3),RMSE(1-4),RMSE(1-5),RMSE(1-6),RMSE(1-7),RMSE(1-8),RMSE(1-9),RMSE(1-10),config
mlr,0.0,0.084,0.142,0.161,0.03,0.184,0.151,0.0,0.049,0.048,0.206,0.155,0.183,0.169,0.2,0.164,0.178,0.19,0.186,0.217,vis_random
mlr,0.773,0.502,0.521,0.224,0.472,0.659,0.498,0.633,0.446,0.357,0.101,0.138,0.13,0.121,0.153,0.13,0.129,0.128,0.127,0.135,props_ex_som_random
mlr,0.589,0.486,0.318,0.188,0.574,0.0,0.465,0.707,0.667,0.648,0.121,0.187,0.123,0.12,0.149,0.121,0.104,0.135,0.112,0.112,vis_props_ex_som_random
mlr,0.411,0.236,0.445,0.42,0.533,0.587,0.461,0.613,0.168,0.233,0.155,0.177,0.161,0.145,0.138,0.133,0.125,0.125,0.122,0.121,bands_random
mlr,0.0,0.711,0.58,0.606,0.638,0.683,0.745,0.712,0.724,0.552,0.13,0.119,0.095,0.114,0.123,0.112,0.115,0.106,0.088,0.132,all_ex_som_random
rf,0.104,0.102,0.575,0.545,0.31,0.0,0.104,0.022,0.0,0.167,0.202,0.17,0.144,0.147,0.146,0.182,0.17,0.133,0.163,0.228,vis_random
rf,0.82,0.689,0.701,0.622,0.43,0.574,0.646,0.659,0.69,0.737,0.097,0.114,0.09,0.119,0.111,0.091,0.12,0.112,0.109,0.104,props_ex_som_random
rf,0.697,0.725,0.693,0.862,0.597,0.504,0.672,0.741,0.465,0.687,0.123,0.094,0.103,0.073,0.1,0.127,0.134,0.102,0.106,0.102,vis_props_ex_som_random
rf,0.493,0.536,0.566,0.426,0.0,0.629,0.716,0.319,0.134,0.224,0.114,0.118,0.157,0.135,0.162,0.125,0.115,0.146,0.143,0.184,bands_random
rf,0.677,0.639,0.565,0.685,0.513,0.63,0.771,0.776,0.689,0.662,0.11,0.12,0.128,0.1,0.096,0.099,0.11,0.095,0.096,0.111,all_ex_som_random
svr,0.214,0.297,0.155,0.167,0.0,0.253,0.408,0.214,0.154,0.2,0.179,0.175,0.171,0.189,0.156,0.146,0.171,0.135,0.216,0.124,vis_random
svr,0.8,0.526,0.707,0.451,0.785,0.7,0.733,0.685,0.766,0.693,0.099,0.102,0.105,0.093,0.092,0.106,0.097,0.102,0.112,0.107,props_ex_som_random
svr,0.605,0.632,0.748,0.69,0.863,0.688,0.78,0.707,0.592,0.803,0.114,0.086,0.108,0.103,0.083,0.124,0.09,0.096,0.121,0.076,vis_props_ex_som_random
svr,0.14,0.602,0.396,0.526,0.558,0.501,0.586,0.657,0.291,0.458,0.134,0.141,0.121,0.164,0.12,0.151,0.107,0.108,0.154,0.14,bands_random
svr,0.813,0.685,0.694,0.791,0.602,0.79,0.72,0.528,0.713,0.171,0.077,0.114,0.117,0.104,0.11,0.11,0.09,0.124,0.095,0.113,all_ex_som_random
ann,0.063,0.338,0.04,0.243,0.337,0.134,0.0,0.102,0.036,0.332,0.156,0.197,0.207,0.174,0.194,0.176,0.147,0.124,0.142,0.138,vis_random
ann,0.55,0.788,0.426,0.67,0.723,0.696,0.595,0.488,0.779,0.743,0.091,0.086,0.142,0.101,0.11,0.106,0.087,0.137,0.12,0.094,props_ex_som_random
ann,0.696,0.132,0.626,0.649,0.723,0.46,0.631,0.711,0.738,0.714,0.111,0.124,0.111,0.107,0.085,0.09,0.117,0.113,0.129,0.125,vis_props_ex_som_random
ann,0.526,0.348,0.416,0.554,0.504,0.595,0.368,0.529,0.611,0.275,0.118,0.131,0.157,0.133,0.141,0.138,0.137,0.119,0.145,0.148,bands_random
ann,0.459,0.597,0.729,0.371,0.727,0.683,0.645,0.611,0.763,0.731,0.106,0.114,0.116,0.131,0.083,0.103,0.12,0.124,0.096,0.129,all_ex_som_random
