config,R2(mlr),R2(rf),R2(svr),R2(ann),RMSE(mlr),RMSE(rf),RMSE(svr),RMSE(ann)
vis_low_1_random,0.208,0.324,0.321,0.307,0.154,0.142,0.143,0.144
props_ex_som_low_1_random,0.325,0.584,0.636,0.583,0.142,0.112,0.105,0.112
vis_props_ex_som_low_1_random,0.368,0.587,0.674,0.564,0.138,0.111,0.099,0.114
bands_low_1_random,0.414,0.468,0.595,0.472,0.133,0.126,0.11,0.126
all_ex_som_low_1_random,0.477,0.611,0.734,0.483,0.125,0.108,0.089,0.125
vis_low_1_top,0.0,0.0,0.0,0.0,0.187,0.183,0.189,0.187
props_ex_som_low_1_top,0.0,0.0,0.092,0.099,0.18,0.154,0.129,0.128
vis_props_ex_som_low_1_top,0.0,0.0,0.033,0.0,0.17,0.152,0.133,0.157
bands_low_1_top,0.0,0.0,0.114,0.0,0.145,0.164,0.127,0.149
all_ex_som_low_1_top,0.0,0.0,0.212,0.0,0.146,0.153,0.12,0.139
vis_low_1_bottom,0.0,0.0,0.0,0.0,0.151,0.155,0.157,0.154
props_ex_som_low_1_bottom,0.07,0.226,0.252,0.186,0.142,0.13,0.128,0.133
vis_props_ex_som_low_1_bottom,0.02,0.235,0.134,0.0,0.146,0.129,0.137,0.149
bands_low_1_bottom,0.0,0.0,0.0,0.0,0.163,0.149,0.159,0.174
all_ex_som_low_1_bottom,0.217,0.278,0.285,0.214,0.131,0.125,0.125,0.131
vis_low_1_mid,0.077,0.184,0.138,0.09,0.174,0.163,0.168,0.173
props_ex_som_low_1_mid,0.576,0.57,0.557,0.648,0.118,0.119,0.12,0.107
vis_props_ex_som_low_1_mid,0.53,0.558,0.603,0.603,0.124,0.12,0.114,0.114
bands_low_1_mid,0.278,0.21,0.254,0.155,0.154,0.161,0.156,0.166
all_ex_som_low_1_mid,0.549,0.527,0.622,0.549,0.121,0.124,0.111,0.121
vis_low_1_left,0.0,0.0,0.0,0.0,0.186,0.203,0.184,0.16
props_ex_som_low_1_left,0.0,0.29,0.096,0.222,0.158,0.129,0.145,0.135
vis_props_ex_som_low_1_left,0.06,0.255,0.375,0.18,0.148,0.132,0.121,0.138
bands_low_1_left,0.055,0.0,0.208,0.135,0.149,0.171,0.136,0.142
all_ex_som_low_1_left,0.248,0.277,0.383,0.226,0.133,0.13,0.12,0.134
vis_low_1_right,0.0,0.0,0.0,0.0,0.31,0.287,0.295,0.289
props_ex_som_low_1_right,0.124,0.581,0.154,0.192,0.218,0.15,0.214,0.209
vis_props_ex_som_low_1_right,0.156,0.574,0.345,0.171,0.214,0.152,0.188,0.212
bands_low_1_right,0.0,0.03,0.014,0.0,0.256,0.229,0.231,0.262
all_ex_som_low_1_right,0.275,0.6,0.409,0.233,0.198,0.147,0.179,0.204
vis_low_1_block,0.239,0.37,0.344,0.344,0.214,0.195,0.199,0.198
props_ex_som_low_1_block,0.576,0.789,0.786,0.655,0.16,0.113,0.113,0.144
vis_props_ex_som_low_1_block,0.619,0.789,0.801,0.668,0.151,0.113,0.109,0.141
bands_low_1_block,0.373,0.551,0.546,0.371,0.194,0.164,0.165,0.194
all_ex_som_low_1_block,0.584,0.793,0.79,0.6,0.158,0.111,0.112,0.155
